citizenship_district_en,0
Central & Western,13
Eastern,27
Islands,6
Kowloon City,70
Kwai Tsing,27
Kwun Tong,49
North,5
Sai Kung,18
Sha Tin,15
Sham Shui Po,75
Southern,13
Tai Po,7
Tsuen Wan,11
Tuen Mun,30
Uncertain,72
Wan Chai,18
Wong Tai Sin,62
Yau Tsim Mong,37
Yuen Long,46
