,today,7 days cumulative,14 days cumulative
Central & Western,,7,13
Eastern,,12,27
Islands,,1,6
Kowloon City,,31,70
Kwai Tsing,,7,27
Kwun Tong,,10,49
North,,2,5
Sai Kung,,7,18
Sha Tin,,7,15
Sham Shui Po,,27,75
Southern,,3,13
Tai Po,,4,7
Tsuen Wan,,4,11
Tuen Mun,,18,30
Uncertain,,40,72
Wan Chai,,4,18
Wong Tai Sin,,20,62
Yau Tsim Mong,,18,37
Yuen Long,,25,46
