Central & Western,50
Eastern,64
Islands,17
Kowloon City,72
Kwai Tsing,65
Kwun Tong,122
North,18
Sai Kung,42
Sha Tin,89
Sham Shui Po,84
Southern,10
Tai Po,40
Tsuen Wan,17
Tuen Mun,31
Uncertain,96
Wan Chai,23
Wong Tai Sin,84
Yau Tsim Mong,67
Yuen Long,40
